diagnostic	availability	evidence
Raw/ICA/LS center traces	observed	saved aligned movies
Native amplitude, noise, timing, area	derived	computed from center traces
Annulus coupling and center-annulus contrast	derived	3-6 px annulus
Spatial footprint radius and peak offset	derived	21x21 event-minus-baseline crop
Raw saturation	derived	uint16 ceiling 4095
Candidate match/rank	partial	available for original 27-ROI diagnostic set only
Local-standardization denominator	derived	exact bounded reproduction from frozen fit, causal pre-roll, and saved floor
ICA component activations/contributions	observed	exported from frozen fit at all 50 sites
Mixing/unmixing matrices	observed	exported directly from frozen temporal fit
Embedding inversion residual	derived	numerical transform audit; not denoising error
Motion/registration residual	unavailable	no motion field saved with this output
Independent-recording validation	unavailable	single recording in current analysis
